"KeHE Number","ItemNumber","Description","UPC"
"00256821","7-406","C&A Potato Gnocchi 10/14.1oz","7-28119-09800-7"
"00110366","17-041-1","C&A Basil Genovese Pesto Sauce 6/7.9oz","7-28119-09844-1"
"00110367","17-041-2","C&A Artichoke Lemon Pesto Sauce 6/7.9oz","7-28119-09846-5"
"00299368","17-041-4","C&A Sun-Dried Tomato Pesto 6/7.9oz","7-28119-09849-6"
"00334790","17-041-7","C&A Sun-Dried Tomato Bruschetta 6/7.9oz","7-28119-09863-2"
"00110368","17-041-1","C&A Artichoke Bruschetta 6/7.9oz","7-28119-09868-7"
"00110374","17-041-2","C&A Red Pepper & Artichoke Bruschetta 6/7.9oz","7-28119-09882-3"
"00256164","17-041-6","C&A Olive Bruschetta 6/7.9oz","7-28119-09883-0"
"00110376","17-051-1","C&A Grd Art Marinara, Grd Artichokes 6/14.5oz","7-28119-09890-8"
"00110377","17-051-2","C&A Grilled Marin Whole Artichokes 6/14.5oz","7-28119-09891-5"
"00110380","3-021","C&A Balsamic Vinegar, High Density 6/8.5oz","7-28119-09946-2"
"00110383","3-047","C&A Balsamic Vinegar igp 6/16.9oz","7-28119-09948-6"
"00110386","17-003-2","C&A Puttanesca Pasta Sauce 6/16.8oz","7-28119-19870-7"
"00110389","17-003-4","C&A Tomato W/Cheese Pasta Sauce 6/16.8oz","7-28119-19871-4"
"00110390","17-003-1","C&A Tomato W/Basil Pasta Sauce 6/16.8oz","7-28119-19872-1"
"00110391","17-003-3","C&A Arrabbiata Pasta Sauce 6/16.8oz","7-28119-19873-8"
"00129173","17-043-1","C&A Tricolor Jalapenos 6/16.5oz","7-28119-26500-3"
"00267772","8-100-3","C&A Couscous 8/17.6oz","7-28119-43002-9"
"00267774","8-100-4","C&A Farro 8/17.6oz","7-28119-43003-6"
"00267775","8-100-5","C&A Instant Polenta 8/17.6oz","7-28119-43004-3"
"00267778","8-100-6","C&A Arborio Rice 8/17.6oz","7-28119-43005-0"
"00295340","8-100-9","C&A Minestrone Soup Mix 8/17.6oz","7-28119-43008-1"
"00295339","8-100-10","C&A Bean Soup Mix 8/17.6oz","7-28119-43009-8"
"00318527","3-005","C&A Grape Seed Oil 6/25.3oz","7-28119-44102-6"
"00295356","7-210-71","C&A Organic Penne Rigate 7/1.12/16oz","7-28119-45000-3"
"00295353","7-210-42","C&A Organic Elbows #42 12/16oz","7-28119-45001-0"